commit_id,author_date,bugcount,fixcount,la,ld,nf,nd,ns,ent,revd,nrev,rtime,tcmt,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr
5fc157e0f5245eb79be90cbc8ed545c396fd38af,1395756508,,,33,2,2,2,1,0.898058793450166,True,15.0,4610271.0,142.0,55.0,False,162.0,322420.0,504.0,2.0,346.0,1321.0,1645.0,192.0,1258.0,1432.0,288.0,1293.0,1560.0,0.0376253092045306,0.1684676474417393,0.2032287462569978
15e61fa1126fa8caf548627c9e97cded4c8ad22e,1374831053,,,2,0,1,1,1,0.0,True,1.0,432626.0,7.0,3.0,False,2.0,2431102.0,3.0,3.0,143.0,1308.0,1329.0,143.0,1259.0,1280.0,55.0,537.0,544.0,0.0103588605253422,0.0995190529041805,0.1008139104698483
74987666f89b4d15ffcf17b43b3752135ba08a65,1300232897,,,3,3,2,2,1,0.9182958340544896,False,,,,,True,,,,,,,,,,,,,,,,
1e28685abe25cc3c1ce4d81794ec8c373111fc13,1294083590,,,9,8,1,1,1,0.0,False,,,,,True,,,,,,,,,,,,,,,,
4b0b0361ed8d231844344d014412f7b647baae0b,1307394328,,,1,1,1,1,1,0.0,False,,,,,True,,,,,,,,,,,,,,,,
5072a9563e206bc580028ee6d3762542f7a88e25,1308703205,,,170,163,6,5,2,0.5857444102343891,False,,,,,True,,,,,,,,,,,,,,,,
15271a08de44da1813bfb2a2b68a2f28ef887c21,1313163822,,,1,1,1,1,1,0.0,False,,,,,True,,,,,,,,,,,,,,,,
ded9447aca01d593b0efa91b5ec23ecf8aa97264,1312314216,,,0,3,2,1,1,0.9182958340544896,False,,,,,True,,,,,,,,,,,,,,,,
620ff9b6738797f20b992a027301c32cf0dee17c,1404328805,,,11,5,1,1,1,0.0,False,,,,,True,,,,,,,,,,,,,,,,
e4377fdb0ef2087a36d2b1fbee96543f735040de,1355292833,,,49,87,2,2,1,0.9158253295377164,True,2.0,78586.0,11.0,3.0,False,3.0,179801.0,8.0,2.0,557.0,1576.0,1842.0,557.0,1542.0,1808.0,532.0,1449.0,1693.0,0.1660436137071651,0.4517133956386293,0.5277258566978194
62e2ad123685ab01accfb9988013225fe377dfbe,1314846427,,,0,0,2,2,1,0.0,False,,,,,True,,,,,,,,,,,,,,,,
c191d0d10c6cb5730a4fb6540198ca3be6595b02,1346053712,2.0,,247,14,9,7,1,0.6400311385612234,True,2.0,877342.0,16.0,5.0,False,15.0,618100.2222222222,28.0,2.0,11.0,137.0,144.0,11.0,137.0,144.0,4.0,79.0,81.0,0.05,0.8,0.82
3dce38f32559659978dd2ae69e9ffcb39c608582,1338712566,0.0,,438,368,59,25,1,0.8858725890618687,True,6.0,381984.0,19.0,2.0,False,79.0,193786.86440677967,427.0,2.0,33.0,922.0,946.0,32.0,922.0,945.0,27.0,875.0,894.0,0.0172626387176325,0.5400739827373613,0.5517879161528977
8279240ee30d55d127e4d964a9861b721ac7cc74,1327099181,,,36,2,5,4,1,0.7692849039881916,True,3.0,93525.0,9.0,4.0,False,35.0,123899.2,83.0,2.0,11.0,451.0,454.0,11.0,450.0,453.0,11.0,355.0,358.0,0.0203389830508474,0.6033898305084746,0.6084745762711864
524eb966045192dd535648929d70cac091d8e24e,1300312822,,,2,2,1,1,1,0.0,False,,,,,True,,,,,,,,,,,,,,,,
c5aafe4992efea8c95cc09e05fdb89288eafb6bb,1307721574,,,55,5,3,3,2,0.6215741674447584,False,,,,,True,,,,,,,,,,,,,,,,
04f62ad8d874d7e9541bd26b379d5232992f12dd,1377222124,2.0,,59,0,3,2,1,0.5880555517588982,True,1.0,366509.0,9.0,5.0,False,3.0,143685.0,3.0,4.0,184.0,954.0,1060.0,156.0,923.0,1003.0,26.0,202.0,205.0,0.117391304347826,0.8826086956521739,0.8956521739130435
cd3f4f7d24c92475ca698906c57f60375861b83f,1406629113,,1.0,3,2,1,1,1,0.0,False,,,,,True,,,,,,,,,,,,,,,,
b29443b7f53bef00f7b96da9d7967f05ac6a1c30,1407963954,,,23,11,1,1,1,0.0,False,,,,,True,,,,,,,,,,,,,,,,
3f462fbf9a2b9cfe6ac39d87fe5b327ba82e9dac,1332225459,,,51,28,1,1,1,0.0,True,1.0,725278.0,7.0,5.0,False,12.0,137676.0,23.0,4.0,532.0,936.0,936.0,531.0,935.0,935.0,109.0,214.0,214.0,0.5069124423963134,0.9907834101382488,0.9907834101382488
6bbe906db0385bcd11e0532b8b180272feb76042,1371510069,,,2,2,2,2,1,1.0,True,3.0,242818.0,14.0,4.0,False,3.0,3352.0,11.0,2.0,528.0,1669.0,2056.0,528.0,1333.0,1720.0,509.0,1457.0,1828.0,0.1039755351681957,0.2972477064220183,0.3728848114169215
7422146ec666f5d3ad3452361489270516ee6084,1306445809,,,3,3,1,1,1,0.0,False,,,,,True,,,,,,,,,,,,,,,,
4243e8e2b41f1438023b1184b1281474b27b5467,1299110967,,,2,9,1,1,1,0.0,False,,,,,True,,,,,,,,,,,,,,,,
488fcb4ad345bfb4fd614a140b317b606e008872,1368022701,,,33,16,3,3,1,0.9973682615141014,True,7.0,620308.0,33.0,13.0,False,12.0,2422329.0,17.0,4.0,13.0,2083.0,2090.0,13.0,1777.0,1784.0,12.0,1622.0,1628.0,0.0029037301764574,0.3625195443377261,0.3638597274960911
